#,Player,Yr,Pos,Ht,GP,GS,Goals,Assists,Points,Shots,SHG,ENG,GWG,GTG,OT Goals,Shootout,PPG,PPA,Hat Tricks,FOs,FO won,FO lost,FO pct,Penalties,Pen. Min.,GameMisc,DQ,P-M,PShots,PSAtt,Plus,Minus
12,Jennifer Gardiner,Sr,F,5-6,39,16,18,27,45,128,,,2,,1,,4,0,,24,9,15,0.375,1,2,,,40,,,56,16
6,Hadley Hartmetz,Sr,D,5-4,39,22,9,24,33,99,,2,,,,,2,0,1,0,0,0,,4,8,,,42,,,63,21
11,Kenzie Hauswirth,Sr,F,5-5,36,7,7,9,16,65,,,,,,,,0,,42,19,23,0.452,5,10,,,15,,,25,10
17,Jocelyn Amos,Fr,C,5-7,39,13,15,15,30,140,2,,4,,,,,0,,672,387,285,0.576,11,22,,,41,,,49,8
9,Hannah Bilka,Sr,F,5-5,39,18,22,26,48,127,1,,4,,1,,4,0,1,2,0,2,0,11,22,,,45,,,56,11
20,Kelsey King,Sr,F,5-8,39,5,6,10,16,57,,1,1,,,,,0,,6,4,2,0.667,7,14,,,25,,,30,5
21,Kiara Zanon,Sr,F,5-5,39,13,14,27,41,80,,,2,,,,1,0,,100,55,45,0.55,5,10,,,48,,,55,7
4,Stephanie Markowski,Sr,D,5-8,39,8,3,24,27,54,,,1,,,,,0,,0,0,0,,2,4,,,51,,,57,6
5,Delaney Fleming,Fr,F,5-4,21,1,1,1,2,20,,,1,,,,,0,,5,3,2,0.6,1,2,,,6,,,7,1
9,Svenja Voigt,So,F,5-4,28,3,1,1,2,7,,,,,,,,0,,0,0,0,,6,12,,,1,,,3,2
21,Avery Myers,Sr,F,5-7,34,0,1,3,4,16,,,1,,,,,0,,1,0,1,0,4,8,,,2,,,7,5
11,Laura Zimmermann,So,F,5-3,33,12,4,6,10,70,,,,,,1,1,0,,42,23,19,0.548,2,4,,,-1,,,15,16
43,Devyn Millwater,Jr,D,5-7,34,3,1,3,4,16,,,1,,,,,0,,0,0,0,,,,,,11,,,17,6
8,Grace Wolfe,Jr,D,5-9,11,4,3,4,7,19,,,,,,,,0,,0,0,0,,4,8,,,8,,,9,1
2,Dayle Ross,Jr,D,5-6,36,23,3,4,7,73,,,1,,,,2,0,,0,0,0,,15,30,,,3,,,26,23
20,Emma Gentry,Sr,C,5-10,31,17,12,6,18,139,,,5,,,1,2,0,1,494,264,230,0.534,13,26,,,6,,,17,11
27,Carmen Bray,Fr,D,-,16,2,,1,1,8,,,,,,,,0,,0,0,0,,,,,,-2,,,7,9
16,Avery Farrell,So,F,5-4,36,13,7,7,14,51,1,,,,,,,0,,139,62,77,0.446,5,10,,,1,,,17,16
10,Katie Kaufman,Sr,C,5-6,36,5,6,16,22,76,,,2,,,,4,0,,374,146,228,0.39,3,6,,,-4,,,16,20
6,Taylor Larson,Jr,D,5-8,35,23,2,6,8,35,,1,,,,,,0,,1,0,1,0,4,8,,,-1,,,19,20
